osm_id,name,road_ref,road_class,max_speed,city,geog
40709831,Pražská,602,secondary,50,Brno,0102000000030000009CCD99A37D88304001BAD4AD4396484089038D3E8B8830409B5EBDE545964840053AEEEFC7883040C1ABE5CE4C964840
776689006,Bosonožské náměstí,,residential,,Brno,0102000000040000009CCD99A37D88304001BAD4AD4396484015866D307988304060BCD52945964840C55CAD6E50883040AE96E0794E9648409E341EB63E883040E6C4C32055964840
8317639,Čechyňská,,residential,30,Brno,010200000008000000323E2718299F304045F064DC799848408CE54CC9289F3040E02AF46679984840F87365AB269F3040F91C0E017698484004615DCB1A9F304070E8D2646B98484094F029A50C9F3040BEB623415D9848406C21C841099F304067BF492E5A98484088307E1AF79E3040453A4DB04998484059B85109F49E3040171E45E746984840
"[97610152, 329301411]",Křenová,,tertiary,50,Brno,010200000008000000323E2718299F304045F064DC79984840BDEE63BB319F30405D0421B4799848409C2BEF4F4E9F3040DFB42AD37998484015634FF16E9F30404B2366F67998484066DD3F16A29F3040AA87C32D7A984840EC8090D1A69F30402705CC327A9848402158552FBF9F30402D38CD4C7A98484066C46059C49F30402733DE567A984840
329301409,Křenová,,tertiary,50,Brno,010200000004000000323E2718299F304045F064DC79984840853309281E9F3040208A13A97A984840F8DD74CB0E9F30406778584D7C98484073203537F09E3040652431F77F984840
"[495626779, 8313555]",Špitálka,,residential,30,Brno,01020000000300000013C6600F379F3040EE62F5A2D19848408341881A3B9F3040EDE6F39BD3984840C40EBE8B529F30404CB0EE0EDF984840
8313555,Špitálka,,residential,30,Brno,01020000000900000013C6600F379F3040EE62F5A2D19848402EFDF098269F3040CED83CB3C9984840B672E5A2109F3040B80F2F3EBB9848409AAD612B0D9F3040B92F0CFDB8984840B2005C7F019F30406478EC67B1984840FF4C73E1F69E3040FC694881AA98484031B19EFFC39E3040726BD26D899848404063CB97BC9E304050B5CCD8869848407C81B45ABB9E30408CE7227486984840
240747962,Jihlavská,602,secondary,50,Brno,010200000004000000209672631F91304051161978499648402189038D3E91304087B949B148964840DB7525B84791304016180D7448964840E1E0C1058F913040008052A346964840
"[186633604, 421610453]",Jihlavská,602,secondary,50,Brno,010200000008000000209672631F9130405116197849964840137AA29009913040FECF06054A964840C4FBBB88009130401C73E83E4A964840215624CBEE903040578B998E4A96484095D8B5BDDD90304080666BD84A9648405877876FBC903040A40E3C084B9648407A63528DA89030406880C1244B964840092F66F09C90304086C77E164B964840
"[347620294, 1320364422, 989038383, 1203934706, 40491351, 240747964, 4052223]",Netroufalky,,residential,50,Brno,01020000000C000000209672631F9130405116197849964840282C4C3A25913040681E65694C964840C38EB57526913040A0C211A452964840C126214729913040ACCF30105F964840023E89192B913040258B451D679648409B8015962E913040BE6081F975964840292158552F913040C2FDDBC07896484041A5A54D30913040AE669DF17D964840C27751AA33913040480092448A964840AA6395D233913040D1F709568B964840CC199B67369130407E64840195964840CE250B4E33913040B1378CDD99964840
4083953,Náměstí 28. října,,tertiary,50,Brno,0102000000060000001F9CF463389D3040A50E97C1BD99484037548CF3379D3040B1A2AB19BE994840D4861E8C339D3040D36C1E87C199484037C714072B9D304088180A33C89948401ED2B9EC219D304037493D55CF99484097E6B1C11D9D3040757C0FF2D5994840
