"id","source_type","source_id","target_type","target_id","link_type","confidence","description","created_at"
6271,"restriction",94476,"traffic_jam",29632,"caused_by",50,"contraflow matched jam(moderate) via spatial","2026-04-15 16:54:39.122279+00"
6272,"restriction",94476,"traffic_jam",24467,"caused_by",65,"contraflow matched jam(moderate) via street","2026-04-15 16:54:39.123795+00"
6273,"restriction",94476,"traffic_jam",24445,"caused_by",65,"contraflow matched jam(moderate) via street","2026-04-15 16:54:39.125428+00"
6274,"restriction",94476,"traffic_jam",17371,"caused_by",70,"contraflow matched jam(heavy) via street","2026-04-15 16:54:39.127225+00"
6275,"restriction",94476,"traffic_jam",17209,"caused_by",70,"contraflow matched jam(heavy) via street","2026-04-15 16:54:39.128881+00"
6276,"restriction",94476,"traffic_jam",17066,"caused_by",65,"contraflow matched jam(moderate) via street","2026-04-15 16:54:39.130707+00"
6277,"restriction",94476,"traffic_jam",16187,"caused_by",70,"contraflow matched jam(heavy) via street","2026-04-15 16:54:39.13243+00"
6278,"restriction",94476,"traffic_jam",15852,"caused_by",65,"contraflow matched jam(moderate) via street","2026-04-15 16:54:39.134278+00"
6279,"restriction",94476,"traffic_jam",15165,"caused_by",70,"contraflow matched jam(heavy) via street","2026-04-15 16:54:39.13593+00"
6280,"restriction",94476,"traffic_jam",12606,"caused_by",65,"contraflow matched jam(light) via street","2026-04-15 16:54:39.13756+00"
6281,"restriction",94476,"traffic_jam",13260,"caused_by",65,"contraflow matched jam(moderate) via street","2026-04-15 16:54:39.139307+00"
6282,"restriction",94476,"traffic_jam",12308,"caused_by",70,"contraflow matched jam(heavy) via street","2026-04-15 16:54:39.140929+00"
6283,"restriction",94476,"traffic_jam",14362,"caused_by",70,"contraflow matched jam(heavy) via street","2026-04-15 16:54:39.142745+00"
6284,"restriction",94476,"traffic_jam",11742,"caused_by",65,"contraflow matched jam(moderate) via street","2026-04-15 16:54:39.144461+00"
6285,"restriction",94476,"traffic_jam",10301,"caused_by",65,"contraflow matched jam(moderate) via street","2026-04-15 16:54:39.146268+00"
6286,"restriction",94476,"traffic_jam",6678,"caused_by",50,"contraflow matched jam(light) via spatial","2026-04-15 16:54:39.147988+00"
6287,"restriction",94476,"traffic_jam",5512,"caused_by",65,"contraflow matched jam(moderate) via street","2026-04-15 16:54:39.149792+00"
6288,"restriction",94476,"traffic_jam",5390,"caused_by",65,"contraflow matched jam(moderate) via street","2026-04-15 16:54:39.151544+00"
6289,"restriction",94476,"traffic_jam",5118,"caused_by",70,"contraflow matched jam(heavy) via street","2026-04-15 16:54:39.153094+00"
6290,"restriction",94476,"traffic_jam",4893,"caused_by",75,"contraflow matched jam(standstill) via street","2026-04-15 16:54:39.154793+00"
6291,"restriction",94476,"traffic_jam",3772,"caused_by",70,"contraflow matched jam(heavy) via street","2026-04-15 16:54:39.156305+00"
6292,"restriction",94476,"traffic_jam",8,"caused_by",70,"contraflow matched jam(heavy) via street","2026-04-15 16:54:39.158161+00"
6293,"restriction",94476,"traffic_jam",74,"caused_by",65,"contraflow matched jam(moderate) via street","2026-04-15 16:54:39.159927+00"
6294,"restriction",94476,"traffic_jam",125,"caused_by",70,"contraflow matched jam(heavy) via street","2026-04-15 16:54:39.161532+00"
6295,"restriction",94476,"traffic_jam",130,"caused_by",70,"contraflow matched jam(heavy) via street","2026-04-15 16:54:39.163171+00"
6296,"restriction",94476,"traffic_jam",930,"caused_by",50,"contraflow matched jam(light) via spatial","2026-04-15 16:54:39.164972+00"
6297,"restriction",94476,"traffic_jam",43,"caused_by",50,"contraflow matched jam(moderate) via spatial","2026-04-15 16:54:39.166626+00"
6298,"restriction",94476,"traffic_jam",87,"caused_by",70,"contraflow matched jam(heavy) via street","2026-04-15 16:54:39.168429+00"
6803,"restriction",94492,"traffic_jam",54170,"caused_by",70,"laneClosures matched jam(moderate) via street","2026-04-15 16:54:40.08507+00"
6804,"restriction",94492,"traffic_jam",53225,"caused_by",70,"laneClosures matched jam(moderate) via street","2026-04-15 16:54:40.086679+00"
